2026-03-06 20:35:17 | INFO | app.modules.chat.ws:76 | token valid — user_id=7
2026-03-06 20:35:17 | INFO | app.modules.chat.ws:19 | user connected to conversation 2
2026-03-06 20:35:17 | INFO | app.modules.chat.ws:29 | {'type': 'system', 'content': 'nikita joined the room', 'timestamp': '2026-03-06 15:05:17.037897'}
2026-03-06 20:35:18 | INFO | app.modules.chat.ws:29 | {'type': 'text', 'id': 1, 'sender_id': 8, 'username': 'nikita', 'content': 'hello', 'timestamp': '2026-03-06 15:05:18.635629'}
2026-03-06 20:35:28 | INFO | app.modules.chat.ws:29 | {'type': 'text', 'id': 2, 'sender_id': 8, 'username': 'nikita', 'content': 'hello', 'timestamp': '2026-03-06 15:05:28.627980'}
2026-03-07 07:44:51 | INFO | app.modules.chat.ws:29 | {'type': 'system', 'content': 'nikita left the room', 'timestamp': '2026-03-07 02:14:51.530328'}
2026-03-07 07:45:03 | INFO | app.main:19 | app started
2026-03-07 07:45:07 | INFO | app.main:19 | app started
2026-03-07 07:45:24 | INFO | app.main:19 | app started
2026-03-07 07:47:27 | INFO | app.main:19 | app started
2026-03-07 07:50:41 | INFO | app.main:19 | app started
2026-03-07 07:51:16 | INFO | app.main:19 | app started
2026-03-07 07:51:38 | INFO | app.main:19 | app started
